,index,created_at,id,id_str,text,text_range,lang,user_id,user_id_str,user_name,user_screen_name,retweeted,quoted,polarity,subjectivity
27,40,13-12-2018 18:28,1.07328E+18,1.07328E+18,What is this guy’s obsession with ratings of TV shows? https://t.co/7RtA9qz7xL,"[0, 54]",en,28,28,user28,user28,0,1,0,0
28,41,13-12-2018 18:28,1.07328E+18,1.07328E+18,@morningmika @SenatorDurbin https://t.co/WUit7xPudl,"[28, 51]",und,29,29,user29,user29,0,1,0,0
29,42,13-12-2018 18:26,1.07328E+18,1.07328E+18,His mind is so dysfunctional and all over the map that he is merge two different tweets into one. Hey Mika is terrible and will be given a pass and congratulations Ambassador dude. His cognitive functions are all over the map. https://t.co/jOPw1LXDcf,"[0, 226]",en,30,30,user30,user30,0,1,-0.5,0.8
30,44,13-12-2018 18:25,1.07328E+18,1.07328E+18,Get the hook. https://t.co/Fzdgxrmktq,"[0, 13]",en,31,31,user31,user31,0,1,0,0
31,46,13-12-2018 18:24,1.07328E+18,1.07328E+18,"....She will probably be given a bow and arrow, despite their terrible horses. Congratulations to @RichardGoblin, our great Ambassador to Fanghorn for having the courage to take this horrible elf on! https://t.co/F2yQlJIOQI","[0, 199]",en,32,32,user32,user32,0,1,-0.4,0.916666667
32,47,13-12-2018 18:23,1.07328E+18,1.07328E+18,Maybe you should try defending the actual rights of the LGBTQ... https://t.co/NhsQ83DwHV,"[0, 64]",en,33,33,user33,user33,0,1,0,0.1
33,49,13-12-2018 18:18,1.07328E+18,1.07328E+18,"We heard about Mika's comment from @RichardGrenell because we don't watch Morning Joe.
No wonder their ratings are in the sewer -- sounds like their language is as well. https://t.co/A4XisfWxtj","[0, 169]",en,34,34,user34,user34,0,1,0,0
34,50,13-12-2018 18:17,1.07328E+18,1.07328E+18,....I wish I could ban ALL the MEANIES from television and just have My @foxandfriends on ALL the time! https://t.co/d8yBSQ7aan,"[0, 103]",en,35,35,user35,user35,0,1,0,0
35,51,13-12-2018 18:17,1.07328E+18,1.07328E+18,Gave Richard Feel all a piece of my mind like he should keep his mouth shut. https://t.co/tltjUtlpli,"[0, 76]",en,36,36,user36,user36,0,1,0,0
36,54,13-12-2018 18:16,1.07328E+18,1.07328E+18,"....She will probably be given a pass, despite their terrible ratings. Congratulations to RichardGrenell, our great Ambassador to Germany, for having the courage to take this horrible issue on! https://t.co/wnOCAgsRiN","[0, 217]",en,37,37,user37,user37,0,1,-0.4,0.916666667
37,56,13-12-2018 18:15,1.07328E+18,1.07328E+18,The AC Nielsen president is at it again https://t.co/6yus4qsa7f,"[0, 39]",en,38,38,user38,user38,0,1,0,0
38,57,13-12-2018 18:15,1.07328E+18,1.07328E+18,"my Bro is on top of all the issues, LASER! https://t.co/hmaL99ayNU","[0, 42]",en,39,39,user39,user39,0,1,0.625,0.5
39,58,13-12-2018 18:14,1.07328E+18,1.07328E+18,"Mika said, “Butt Boy.” HORRIBLE! ISSUE! HORRIBLE ISSUE! Worse than a bone saw, you betcha #CadetBoneSpurs https://t.co/u0WEfpchu8","[0, 105]",en,40,40,user40,user40,0,1,-0.8,0.866666667
40,64,13-12-2018 18:12,1.07328E+18,1.07328E+18,I made a twitter troll our ambassador to Germany. https://t.co/fN6nfhsUCr,"[0, 49]",en,41,41,user41,user41,0,1,0,0
41,65,13-12-2018 18:12,1.07328E+18,1.07328E+18,"She’s given a pass by the Trilateral Commission, obviously she represents their interests. https://t.co/OoePNdHdYi","[0, 90]",en,42,42,user42,user42,0,1,0,0.5
42,66,13-12-2018 18:11,1.07328E+18,1.07328E+18,"Every time you call someone great, they are unqualified. https://t.co/uXrYEtTXwR","[0, 56]",en,43,43,user43,user43,0,1,0.8,0.75
43,67,13-12-2018 18:10,1.07328E+18,1.07328E+18,i thought you did not watch MSNBC https://t.co/VvOfkE7qjV,"[0, 33]",en,44,44,user44,user44,0,1,0,0
44,69,13-12-2018 18:08,1.07328E+18,1.07328E+18,This dude tweets more times a day than that Dory account we had. It’s hilarious looking at the time stamps on his tweets. How does he have this much time on his hands lmao https://t.co/qvyGhKVd2O,"[0, 171]",en,45,45,user45,user45,0,1,0.45,0.675
45,70,13-12-2018 18:07,1.07328E+18,1.07328E+18,FK YOU GO DO YOUR JOB! https://t.co/euQ5X40NfB,"[0, 22]",en,46,46,user46,user46,0,1,0,0
46,72,13-12-2018 18:06,1.07328E+18,1.07328E+18,The tweets are threaded.  An aide did this.  Dumbass doesn't know how to thread tweets. https://t.co/TOENlHBs8q,"[0, 87]",en,47,47,user47,user47,0,1,0,0
47,74,13-12-2018 18:04,1.07328E+18,1.07328E+18,MUELLER!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! https://t.co/pI9GIMD15n,"[0, 57]",da,48,48,user48,user48,0,1,0,0
48,75,13-12-2018 18:02,1.07328E+18,1.07328E+18,You should be banned from America https://t.co/OhuN8FJE8z,"[0, 33]",en,49,49,user49,user49,0,1,0,0
49,76,13-12-2018 18:02,1.07328E+18,1.07328E+18,"1:00 p.m. EST and he’s still watching tv. I don’t remember Obama spending 6 to 8 hours during the work day watching TV, or canceling work so that he could watch TV. https://t.co/ZvJPe2J1JR","[0, 164]",en,50,50,user50,user50,0,1,0,0
50,77,13-12-2018 18:02,1.07328E+18,1.07328E+18,"Obviously, you have no ability to announciate any Christian ideas of forgiveness. I really feel sorry you have no capacity for human empathy or compassion for your fellow humans. I'll keep you on my prayer list. https://t.co/KLH7aPi340","[0, 211]",en,51,51,user51,user51,0,1,-0.06,0.36
51,78,13-12-2018 18:00,1.07328E+18,1.07328E+18,"So you're just watching TV .........again.
What a waste of space you are. https://t.co/X8j4et6SFf","[0, 73]",en,52,52,user52,user52,0,1,-0.2,0
52,79,13-12-2018 18:00,1.07328E+18,1.07328E+18,https://t.co/JH727gbPYG,"[0, 23]",und,53,53,user53,user53,0,1,0,0
53,80,13-12-2018 17:59,1.07328E+18,1.07328E+18,"We may no longer make butt sex jokes because some stupid wench on @NBCNews decided to use a gay term as an insult on national TV after spending nauseating amounts of time schooling GOP &amp; Trump voters on Homophobia.  Good job, you hypocritical, empty headed, nitwit. @morningmika https://t.co/PQP7kiZ3tx","[0, 282]",en,54,54,user54,user54,0,1,0.054166667,0.670833333
54,81,13-12-2018 17:59,1.07328E+18,1.07328E+18,...soll das ein #Kompliment sein? Danke @realDonaldTrump 🎉🍾 https://t.co/1qQUkQmCsL,"[0, 59]",de,55,55,user55,user55,0,1,0.2,0.2
55,82,13-12-2018 17:58,1.07328E+18,1.07328E+18,"The US criminal justice system doesn’t give a damn about your, or anybody’s “ratings.”  At end of day, it’s not about “ratings,” it’s about truth.

You and your minions are going to prison, no matter what “ratings” you think you have, no matter whether you try to incite revolt. https://t.co/DksSRQrO8t","[0, 278]",en,56,56,user56,user56,0,1,-0.4,0.55
56,85,13-12-2018 17:58,1.07328E+18,1.07328E+18,Your wonderful amb to Germany must love Berlin https://t.co/eqWsXf1Tbz,"[0, 46]",en,57,57,user57,user57,0,1,0.75,0.8
57,86,13-12-2018 17:58,1.07328E+18,1.07328E+18,The...the ambassador to Germany is courageously taking on the...one lady on the TV? Are you having a stroke? https://t.co/KmLcGL2gEQ,"[0, 108]",en,58,58,user58,user58,0,1,0,0
58,88,13-12-2018 17:57,1.07328E+18,1.07328E+18,"And on cue . Leftists melt down .

Trump owns all of ya . Its utterly amazing how many millions of leftists can not help themselves . 

And ya all cry about his tweets , check yourselves 

HA ha ha ha ha ha ha ha ha ha ha ha ha ha https://t.co/zHTk888qdj","[0, 230]",en,59,59,user59,user59,0,1,0.314814815,0.562962963
59,89,13-12-2018 17:56,1.07328E+18,1.07328E+18,"You continue to ignore the MSPB situation, which is keeping thousands of families nationwide from employment, income, representation and justice. 

Stop neglecting the American people! Close twitter and do your fucking job. https://t.co/Oe7ipfL7Mk","[0, 223]",en,60,60,user60,user60,0,1,-0.3,0.4
60,90,13-12-2018 17:55,1.07328E+18,1.07328E+18,"""the courage"" https://t.co/uIcQ7hf42g","[0, 13]",en,61,61,user61,user61,0,1,0,0
61,91,13-12-2018 17:54,1.07327E+18,1.07327E+18,"Are you still in your pajamas?

#ThursdayMotivation 
#IcarusFallsParty 
#Trump
#Melania
#MuellerKnowsEverything
#Russia
#TrumpLies
#MichaelCohen
#Africa 
#Brexit
#BorderWall 
#TheResistance 
#Resistance
#ImpeachTrump 
#TrumpForPrison2020 
#TrumpIsAMoron 
#RockHall2019 
#Maddow https://t.co/8ptwxDlV4A","[0, 277]",en,62,62,user62,user62,0,1,0,0
62,93,13-12-2018 17:53,1.07327E+18,1.07327E+18,Mika Brzezinski https://t.co/5vvPvkxeWz,"[0, 15]",pl,63,63,user63,user63,0,1,0,0
63,95,13-12-2018 17:52,1.07327E+18,1.07327E+18,"This coming from a guy who called a congressman Adam Shitt, sad https://t.co/wvoWO59ZaG","[0, 63]",en,64,64,user64,user64,0,1,-0.5,1
64,97,13-12-2018 17:52,1.07327E+18,1.07327E+18,https://t.co/A3shtaVV7j,"[0, 23]",und,65,65,user65,user65,0,1,0,0
65,98,13-12-2018 17:52,1.07327E+18,1.07327E+18,"Yes, @RichardGrenell hits unprofessional, low class talk &amp; behavior head-on https://t.co/Swy0Fa1YdR","[0, 79]",en,66,66,user66,user66,0,1,0,0.3
66,100,13-12-2018 17:52,1.07327E+18,1.07327E+18,Aren’t you happy that someone other than you messed up? https://t.co/M0ZuX2IV1f,"[0, 55]",en,67,67,user67,user67,0,1,0.3375,0.6875
67,105,13-12-2018 17:50,1.07327E+18,1.07327E+18,#CloserNation https://t.co/JNNZ8jXCle,"[0, 13]",und,68,68,user68,user68,0,1,0,0
68,107,13-12-2018 17:50,1.07327E+18,1.07327E+18,"Not only a pass, but a raise, too. https://t.co/7uO5VZSh9l","[0, 34]",en,69,69,user69,user69,0,1,0,1
69,108,13-12-2018 17:50,1.07327E+18,1.07327E+18,Don't act like you give a damn about the content of Mika's misstep. History has proven you do not. This is just an opportunity to take a jab at Mika. Pivot the narrative away from yourself. Nope. We are Laser Focused on you and your criminal and/or treasonous actions. https://t.co/s0fIfyZW8h,"[0, 268]",en,70,70,user70,user70,0,1,-0.4,0.55
70,109,13-12-2018 17:50,1.07327E+18,1.07327E+18,Did she say she grabs other women by the pussy? Because THAT would be downright scandalous! https://t.co/TylZe5Go2r,"[0, 91]",en,71,71,user71,user71,0,1,-0.15625,0.375
71,110,13-12-2018 17:50,1.07327E+18,1.07327E+18,Of course if you have great ratings you can do whatever the fuck you like. In Trump's brain. https://t.co/r7nFsnyXWc,"[0, 92]",en,72,72,user72,user72,0,1,0.2,0.675
72,111,13-12-2018 17:49,1.07327E+18,1.07327E+18,She apologized for her remark...which is much more than I can say for you. https://t.co/GYF2hCiOAI,"[0, 74]",en,73,73,user73,user73,0,1,0.5,0.5
73,112,13-12-2018 17:49,1.07327E+18,1.07327E+18,More Trump on Mika: https://t.co/JoXqu8UG8j,"[0, 19]",en,74,74,user74,user74,0,1,0.5,0.5
74,113,13-12-2018 17:49,1.07327E+18,1.07327E+18,"Huh?

Dude. You have lost your shit. https://t.co/SVak7LeBuQ","[0, 36]",en,75,75,user75,user75,0,1,-0.2,0.8
75,114,13-12-2018 17:49,1.07327E+18,1.07327E+18,A key priority for the ambassador to Germany. https://t.co/AntQcCZPbm,"[0, 45]",en,76,76,user76,user76,0,1,0,1
76,115,13-12-2018 17:48,1.07327E+18,1.07327E+18,"""I'm scared so I think I'll pick on a woman. Picking on women (I'm scared of picking on men) is Trumpbrand STRONG.""

You're a wuss, Donald, a whiney old wuss. 
S'ok. We like watching you lash out at your wussy fears. https://t.co/XxU7ULyZtq","[0, 216]",en,77,77,user77,user77,0,1,0.344444444,0.477777778
77,116,13-12-2018 17:48,1.07327E+18,1.07327E+18,"You should concern yourself with your own ratings. Stop watching T.V. and prepare to resign before you're censured, impeached removed and incarcerated. https://t.co/pCHAAEyQS6","[0, 151]",en,78,78,user78,user78,0,1,0.6,1
78,118,13-12-2018 17:48,1.07327E+18,1.07327E+18,Oh f*ck off!! @morningmika has the right to say whatever she wants! What a big baby you are!! https://t.co/951cDGbQdl,"[0, 93]",en,79,79,user79,user79,0,1,0.178571429,0.245238095
79,120,13-12-2018 17:47,1.07327E+18,1.07327E+18,@realDonaldTrump you need to work on the verbal diarrhea. https://t.co/YfsDCxzESq,"[0, 57]",en,80,80,user80,user80,0,1,0,0
80,121,13-12-2018 17:46,1.07327E+18,1.07327E+18,"...Ela provavelmente receberá um passe livre, mesmo com uma audiência terrível. Parabéns a @RichardGrenell, nosso grande Embaixador na Alemanha, por ter a coragem de lidar com este terrível problema! https://t.co/XAoZmy2h6l","[0, 199]",pt,81,81,user81,user81,0,1,-0.2,0.8875
81,123,13-12-2018 17:46,1.07327E+18,1.07327E+18,"Of course she'll be given a pass.. She's anti-Trump... They can say anything, no matter how horrible it is, as long as they spew that hateful message. https://t.co/Y19IHNQXl5","[0, 150]",en,82,82,user82,user82,0,1,-0.525,0.7
82,126,13-12-2018 17:45,1.07327E+18,1.07327E+18,Go do some work you stupid old ignorant man! https://t.co/6i0pCPjswR,"[0, 44]",en,83,83,user83,user83,0,1,-0.3375,0.6
83,127,13-12-2018 17:45,1.07327E+18,1.07327E+18,"#WeDontBelieveYou 
https://t.co/GXEcJi4NfQ","[0, 42]",und,84,84,user84,user84,0,1,0,0
84,130,13-12-2018 17:44,1.07327E+18,1.07327E+18,This tweet was sent via Twitter for iPhone. I compute a 51% chance it was written by Trump himself. https://t.co/s9tCXHzhF7,"[0, 123]",en,85,85,user85,user85,0,1,0,0
85,131,13-12-2018 17:44,1.07327E+18,1.07327E+18,100 % - true https://t.co/nv4gWKmGpq,"[0, 12]",en,86,86,user86,user86,0,1,0.35,0.65
86,132,13-12-2018 17:44,1.07327E+18,1.07327E+18,"https://t.co/xPETNKCezm
....She will probably be given a pass, despite their terrible ratings. Congratulations to RichardGrenell, our great Ambassador to Germany, for having the courage to take this horrible issue on!","[0, 217]",en,87,87,user87,user87,0,1,-0.4,0.916666667
87,133,13-12-2018 17:44,1.07327E+18,1.07327E+18,"The LEFT always get a pass. However, today's Clinton Foundation hearing may change that...... https://t.co/lV6qfvEkhj","[0, 93]",en,88,88,user88,user88,0,1,0,0
88,134,13-12-2018 17:44,1.07327E+18,1.07327E+18,"Latest ridiculous tweet by #fuckfacevonclownstick : (this has been autotweeted, I figure it's a safe bet to say what he's posting is ridiculous) https://t.co/VgF0JcRYBD","[0, 168]",en,89,89,user89,user89,0,1,-0.083333333,0.88
89,136,13-12-2018 17:43,1.07327E+18,1.07327E+18,Trump: I know a gay https://t.co/zjbNV0zpAo,"[0, 19]",en,90,90,user90,user90,0,1,0.416666667,0.583333333
90,137,13-12-2018 17:43,1.07327E+18,1.07327E+18,Because of course domestic politics is totally in the purview of an ambassador to Germany https://t.co/d9g1xlgYBY,"[0, 89]",en,91,91,user91,user91,0,1,0,0.425
91,138,13-12-2018 17:43,1.07327E+18,1.07327E+18,[#BrawndosGotWhatPlantsCrave] https://t.co/7kdufdkPeT,"[0, 53]",und,92,92,user92,user92,0,1,0,0
92,139,13-12-2018 17:42,1.07327E+18,1.07327E+18,A moron wrapped in an idiot. https://t.co/h5aUaujnxd,"[0, 28]",en,93,93,user93,user93,0,1,-0.8,0.9
93,140,13-12-2018 17:42,1.07327E+18,1.07327E+18,"Grennell is not employed to advance the gay agenda. Europe is in crisis, Germany is attempting to control the narrative for the EU, you supporting an adjacent issue. Focus Mr. President, you are making the mistake other Administrations have made, imposing US culture on others. https://t.co/E6z2LlC4bf","[0, 277]",en,94,94,user94,user94,0,1,0.180555556,0.402777778
94,141,13-12-2018 17:42,1.07327E+18,1.07327E+18,"These are the things tv and radio personnel should be held accountable for.  We are citiy we can say pretty much anything we want to say, corporate members have an accountability standard to be held to. Things said about Presidents personality is one thing policy is another. https://t.co/BZY9GvegGA","[0, 275]",en,95,95,user95,user95,0,1,0.1125,0.3
95,143,13-12-2018 17:42,1.07327E+18,1.07327E+18,people do not typically go to great lengths to hide conduct they believe is legal https://t.co/1tdtHQ9ewe,"[0, 81]",en,96,96,user96,user96,0,1,-0.1,0.475
96,144,13-12-2018 17:42,1.07327E+18,1.07327E+18,Congratulations to Nancy Pelosi and Chuck Schumer for standing up and calling out the deliberate attempts by @realDonaldTrump to lie to the American people. The courage it took to say it to his face is remarkable https://t.co/qrQjXhMXIj,"[0, 212]",en,97,97,user97,user97,0,1,0.375,0.375
97,145,13-12-2018 17:42,1.07327E+18,1.07327E+18,"Grandpa babygasser is rage tweeting with a loaded diaper, a rash, sitting in a butt sweat puddle knowing his campaign, kids and associates conspired with Russians and the freight train of justice bears down on the trump kushner syndicate. https://t.co/73Z2f9Gxmv","[0, 238]",en,98,98,user98,user98,0,1,-0.155555556,0.288888889
98,146,13-12-2018 17:42,1.07327E+18,1.07327E+18,"😂😂😂 Truly one of the greatest ""issues"" our country is facing. Trying to change the subject, are we? https://t.co/fjQJmlxETj","[0, 99]",en,99,99,user99,user99,0,1,0.416666667,0.666666667
99,147,13-12-2018 17:42,1.07327E+18,1.07327E+18,Your ratings are the worst ever! Get a clue! https://t.co/VcFTNO8cEy,"[0, 44]",en,100,100,user100,user100,0,1,-1,1
100,149,13-12-2018 17:41,1.07327E+18,1.07327E+18,"Anyone else amazed that the President of the United States has time to comment on this little turd ?

I don't believe we have heard yet from the orange clown stick or his administration on the Russian military buildup in Crimea. Could they can find some executive time for that ! https://t.co/pcDK9I4coL","[0, 279]",en,101,101,user101,user101,0,1,-0.104166667,0.2
101,150,13-12-2018 17:41,1.07327E+18,1.07327E+18,Yep https://t.co/rYWnvqCsGd,"[0, 3]",und,102,102,user102,user102,0,1,0,0
102,151,13-12-2018 17:41,1.07327E+18,1.07327E+18,Lol https://t.co/Lsx5RJL6ab,"[0, 3]",und,103,103,user103,user103,0,1,0.8,0.7
103,152,13-12-2018 17:41,1.07327E+18,1.07327E+18,https://t.co/z1AZ9KPUuV,"[0, 23]",und,104,104,user104,user104,0,1,0,0
104,153,13-12-2018 17:41,1.07327E+18,1.07327E+18,"@realDonaldTrump @RichardGrenell This is the same man who attempted to throw transgender troops out of the military!

https://t.co/nnlugO74Wy","[33, 141]",en,105,105,user105,user105,0,1,-0.0625,0.1125
105,154,13-12-2018 17:41,1.07327E+18,1.07327E+18,"The only reason we know who she is is because of her daddy. She is part of the club that most of us are excluded from. Why of all the talented, intelligent, beautiful people in our country is she on TV. Same reason Anderson Cooper is famous, u wanna talk about butt boys... https://t.co/CJOMoNqKxh","[0, 273]",en,106,106,user106,user106,0,1,0.478571429,0.775
106,155,13-12-2018 17:41,1.07327E+18,1.07327E+18,He’s right. Bring back @KevinHart4real to the Oscars!  (Or fire Mika). https://t.co/HkXSz59bAX,"[0, 70]",en,107,107,user107,user107,0,1,0.142857143,0.267857143
107,156,13-12-2018 17:40,1.07327E+18,1.07327E+18,THREADED TWEET! WH aides are behind this! Sounds like an #aidetweet. Score:-20 Code:mlTsnn Time:0940 https://t.co/GtEgzVThL9,"[0, 124]",en,108,108,user108,user108,0,1,-0.5,0.7
108,157,13-12-2018 17:40,1.07327E+18,1.07327E+18,The 45th President tweeted: https://t.co/IcuJMbHwE5,"[0, 51]",en,109,109,user109,user109,0,1,0,0
109,158,13-12-2018 17:40,1.07327E+18,1.07327E+18,knock knock https://t.co/ErTilAsxG3,"[0, 35]",en,110,110,user110,user110,0,1,0,0
110,159,13-12-2018 17:40,1.07327E+18,1.07327E+18,Written in moron-stream-of-consciousness style. https://t.co/XkdMVjIrVa,"[0, 47]",en,111,111,user111,user111,0,1,0,0
111,160,13-12-2018 17:40,1.07327E+18,1.07327E+18,#ControlledMSM #WWG1WGA #QAnon https://t.co/TvbvJX7Xoe,"[0, 30]",und,112,112,user112,user112,0,1,0,0
112,161,13-12-2018 17:40,1.07327E+18,1.07327E+18,https://t.co/DJPKpOxClS,"[0, 23]",und,113,113,user113,user113,0,1,0,0
113,162,13-12-2018 17:40,1.07327E+18,1.07327E+18,"So long as some wish to do violence to others, there cannot be complete liberty, for either the wish to do violence must be restrained, or the victims must be left to suffer.  -- Bertrand Russell 
https://t.co/9hT6RRfKGK","[0, 220]",en,114,114,user114,user114,0,1,0.016666667,0.266666667
114,163,13-12-2018 17:40,1.07327E+18,1.07327E+18,Says the “pussy-grabber” #TrumpCrimeFamily https://t.co/8mSMAKNoTn,"[0, 42]",en,115,115,user115,user115,0,1,0,0
115,165,13-12-2018 17:39,1.07327E+18,1.07327E+18,Bannon told you to write that? https://t.co/lSunrLdDZI,"[0, 54]",en,116,116,user116,user116,0,1,0,0
116,166,13-12-2018 17:39,1.07327E+18,1.07327E+18,ohh no another tweet from realDonaldTrump the idiot speaks nation hold your breath! https://t.co/y8paFpquKu,"[0, 107]",en,117,117,user117,user117,0,1,-1,0.8
117,167,13-12-2018 17:39,1.07327E+18,1.07327E+18,IS THIS TRUE? https://t.co/Qpmk8MqmDt,"[0, 37]",en,118,118,user118,user118,0,1,0.35,0.65
118,169,13-12-2018 17:39,1.07327E+18,1.07327E+18,Executive time.... now goes pass 11 am. Someone get co conspirator the hell out of the white house. #TrumpRussiaCollusion https://t.co/jhiNdZBnD3,"[0, 121]",en,119,119,user119,user119,0,1,0,0
119,170,13-12-2018 17:39,1.07327E+18,1.07327E+18,https://t.co/br7F5lhyPh,"[0, 23]",und,120,120,user120,user120,0,1,0,0
